sample	samples	HGS	HGS	ENSG00000185359.12
TCGA-BH-A0HY-01	TCGA-BH-A0HY-01	1.147	1	6.557
TCGA-AG-3598-01	TCGA-AG-3598-01	1.143	1	
TCGA-61-1738-01	TCGA-61-1738-01	1.14	2	5.67
TCGA-13-0904-01	TCGA-13-0904-01	1.137	2	
TCGA-BQ-7046-01	TCGA-BQ-7046-01	1.137	1	6.367
TCGA-34-8456-01	TCGA-34-8456-01	1.136	1	6.474
TCGA-D3-A5GS-06	TCGA-D3-A5GS-06	1.134	1	6.622
TCGA-13-A5FT-01	TCGA-13-A5FT-01	1.132	2	7.389
TCGA-S9-A6WG-01	TCGA-S9-A6WG-01	1.131	2	6.651
TCGA-CC-A5UE-01	TCGA-CC-A5UE-01	1.128	2	6.98
TCGA-P6-A5OH-01	TCGA-P6-A5OH-01	1.128	2	
TCGA-BH-A6R8-01	TCGA-BH-A6R8-01	1.127	1	6.637
TCGA-D8-A1X5-01	TCGA-D8-A1X5-01	1.127	1	5.925
TCGA-C8-A135-01	TCGA-C8-A135-01	1.126	2	5.926
TCGA-30-1860-01	TCGA-30-1860-01	1.124	2	6.047
TCGA-TS-A7P0-01	TCGA-TS-A7P0-01	1.119	2	7.166
TCGA-N7-A4Y5-01	TCGA-N7-A4Y5-01	1.118	1	6.67
TCGA-36-1578-01	TCGA-36-1578-01	1.117	1	6.529
TCGA-77-7140-01	TCGA-77-7140-01	1.117	1	5.966
TCGA-FX-A3RE-01	TCGA-FX-A3RE-01	1.114	2	6.167
TCGA-55-7576-01	TCGA-55-7576-01	1.113	2	6.697
TCGA-43-2581-01	TCGA-43-2581-01	1.106	2	6.272
TCGA-A2-A4S3-01	TCGA-A2-A4S3-01	1.103	2	7.313
TCGA-AA-A01Z-01	TCGA-AA-A01Z-01	1.101	2	6.928
TCGA-L9-A443-01	TCGA-L9-A443-01	1.1	1	7.53
TCGA-A8-A09M-01	TCGA-A8-A09M-01	1.099	1	6.032
TCGA-D7-A6EZ-01	TCGA-D7-A6EZ-01	1.098	2	6.373
TCGA-CC-A7IL-01	TCGA-CC-A7IL-01	1.096	1	6.279
TCGA-NF-A4WU-01	TCGA-NF-A4WU-01	1.093	1	7.34
TCGA-AK-3453-01	TCGA-AK-3453-01	1.092	1	5.976
TCGA-DA-A1IA-06	TCGA-DA-A1IA-06	1.091	1	7.318
TCGA-A1-A0SM-01	TCGA-A1-A0SM-01	1.09	2	6.256
TCGA-AX-A3FX-01	TCGA-AX-A3FX-01	1.089	2	8.456
TCGA-G3-A5SI-01	TCGA-G3-A5SI-01	1.086	1	5.871
TCGA-78-7539-01	TCGA-78-7539-01	1.085	2	6.516
TCGA-3N-A9WC-06	TCGA-3N-A9WC-06	1.085	1	6.631
TCGA-BC-A217-01	TCGA-BC-A217-01	1.083	1	7.467
TCGA-AP-A0L8-01	TCGA-AP-A0L8-01	1.082	1	
TCGA-EW-A1P4-01	TCGA-EW-A1P4-01	1.079	2	6.294
TCGA-63-A5MI-01	TCGA-63-A5MI-01	1.079	1	6.38
TCGA-CU-A3YL-01	TCGA-CU-A3YL-01	1.076	1	8.25
TCGA-78-8655-01	TCGA-78-8655-01	1.072	2	6.907
TCGA-EW-A1PA-01	TCGA-EW-A1PA-01	1.072	2	6.675
TCGA-VQ-A91Z-01	TCGA-VQ-A91Z-01	1.072	1	6.701
TCGA-NF-A4WX-01	TCGA-NF-A4WX-01	1.071	1	7.084
TCGA-DX-AB2T-01	TCGA-DX-AB2T-01	1.067	2	6.63
TCGA-BH-A18L-01	TCGA-BH-A18L-01	1.067	1	6.018
TCGA-WE-AAA0-06	TCGA-WE-AAA0-06	1.061	2	6.905
TCGA-09-2044-01	TCGA-09-2044-01	1.061	2	6.286
TCGA-13-0903-01	TCGA-13-0903-01	1.061	2	
TCGA-09-0369-01	TCGA-09-0369-01	1.061	1	7.027
TCGA-D8-A147-01	TCGA-D8-A147-01	1.054	2	6.174
TCGA-L5-A4OQ-01	TCGA-L5-A4OQ-01	1.051	1	7.025
TCGA-55-A490-01	TCGA-55-A490-01	1.046	1	5.608
TCGA-N5-A4RS-01	TCGA-N5-A4RS-01	1.045	1	8.459
TCGA-BA-A8YP-01	TCGA-BA-A8YP-01	1.044	1	6.427
TCGA-A8-A09R-01	TCGA-A8-A09R-01	1.043	1	6.163
TCGA-G3-A25S-01	TCGA-G3-A25S-01	1.041	1	8.016
TCGA-24-2036-01	TCGA-24-2036-01	1.039	2	6.558
TCGA-10-0925-01	TCGA-10-0925-01	1.039	1	
TCGA-22-4613-01	TCGA-22-4613-01	1.038	2	6.445
TCGA-DS-A3LQ-01	TCGA-DS-A3LQ-01	1.037	1	5.892
TCGA-DX-AB2X-01	TCGA-DX-AB2X-01	1.035	1	7.82
TCGA-XF-A8HG-01	TCGA-XF-A8HG-01	1.033	1	6.584
TCGA-TM-A84M-01	TCGA-TM-A84M-01	1.032	2	6.534
TCGA-64-1680-01	TCGA-64-1680-01	1.032	2	5.469
TCGA-N9-A4Q1-01	TCGA-N9-A4Q1-01	1.032	1	6.494
TCGA-A8-A06N-01	TCGA-A8-A06N-01	1.032	1	5.938
TCGA-BH-A18R-01	TCGA-BH-A18R-01	1.031	2	6.238
TCGA-13-1412-01	TCGA-13-1412-01	1.028	1	
TCGA-DX-AB3A-01	TCGA-DX-AB3A-01	1.023	2	6.005
TCGA-D8-A1XK-01	TCGA-D8-A1XK-01	1.02	2	6.224
TCGA-A6-2677-01	TCGA-A6-2677-01	1.02	2	5.076
TCGA-AX-A2H2-01	TCGA-AX-A2H2-01	1.02	1	
TCGA-BR-4357-01	TCGA-BR-4357-01	1.019	1	6.179
TCGA-BH-A5IZ-01	TCGA-BH-A5IZ-01	1.018	1	7.161
TCGA-13-0913-01	TCGA-13-0913-01	1.016	1	
TCGA-BC-A10T-01	TCGA-BC-A10T-01	1.015	2	5.426
TCGA-EW-A1PC-01	TCGA-EW-A1PC-01	1.015	1	6.371
TCGA-NA-A4QV-01	TCGA-NA-A4QV-01	1.012	1	6.936
TCGA-GV-A3JZ-01	TCGA-GV-A3JZ-01	1.011	2	7.037
TCGA-FD-A6TI-01	TCGA-FD-A6TI-01	1.01	2	6.425
TCGA-Q2-A5QZ-01	TCGA-Q2-A5QZ-01	1.01	1	7.526
TCGA-A8-A09A-01	TCGA-A8-A09A-01	1.003	2	5.809
TCGA-61-1725-01	TCGA-61-1725-01	0.998	2	5.825
TCGA-BL-A3JM-01	TCGA-BL-A3JM-01	0.996	1	6.582
TCGA-ER-A19T-06	TCGA-ER-A19T-06	0.995	1	7.436
TCGA-DD-AACA-01	TCGA-DD-AACA-01	0.991	1	6.136
TCGA-KD-A5QS-01	TCGA-KD-A5QS-01	0.99	2	6.756
TCGA-A4-A5DU-01	TCGA-A4-A5DU-01	0.986	1	6.954
TCGA-WC-A884-01	TCGA-WC-A884-01	0.985	1	6.663
