"","logFC","AveExpr","t","P.Value","adj.P.Val","B","regulate"
"Q92925",0.475829753061813,17.0630193433973,0.626630140650281,0.546036210685568,0.873037487850949,-6.40485530010036,"unchanged"
"P51991",-0.475496085822201,17.8977905406119,-1.03891909082651,0.325205377635241,0.808355121917802,-6.05900543347104,"unchanged"
"Q00325",-0.467024644104072,17.5237414859504,-0.804499501496498,0.441270873335921,0.873037487850949,-6.27380829523181,"unchanged"
"P63244",-0.466490659160616,16.688735709295,-1.16513290787115,0.27309734375715,0.7428206921125,-5.92551719522295,"unchanged"
"P10599",0.461547219424745,20.5776961727497,0.865596319227791,0.408574781850463,0.866742699583912,-6.22223875254987,"unchanged"
"Q9HCY8",-0.455904614835379,17.0082862031291,-1.0635541403517,0.314474882252023,0.803278231839408,-6.03387598498679,"unchanged"
"P50914",-0.455505086861621,20.3891781867123,-1.02761455021903,0.330221666825996,0.808355121917802,-6.07038175563726,"unchanged"
"Q9H9B4",0.453570556118045,17.3221407090606,0.665444053453932,0.521992899045533,0.873037487850949,-6.37876109394521,"unchanged"
"Q15717",-0.453061535400231,20.3410107509199,-1.08285325787488,0.306260133425479,0.790891553351513,-6.01386992510089,"unchanged"
"Q9Y2J4",-0.434063673018606,17.5293001635858,-0.924926761088216,0.37847437270169,0.866742699583912,-6.16911513246787,"unchanged"
"P07910",-0.433410503223168,19.4305206218761,-1.08987351036573,0.303313442306856,0.790891553351513,-6.0065236766312,"unchanged"
"Q8NHM4",0.430254828851346,23.5094602293648,0.90795457251292,0.386918486720633,0.866742699583912,-6.18461220209412,"unchanged"
"Q08554",0.428080222745354,21.6384798673979,0.993681792290366,0.345629735796302,0.822036444445844,-6.10393483902436,"unchanged"
"P22735",0.421792120454548,18.7980755082161,0.955389083543565,0.363653011407051,0.854584576806571,-6.14070720166091,"unchanged"
"O00571",-0.420418829877384,23.6312208688044,-1.26073660203679,0.238238840765538,0.687201622412002,-5.81692616477401,"unchanged"
"Q01844",-0.418711516267631,21.3526548610823,-0.992221401152458,0.346304714894207,0.822036444445844,-6.10535864461126,"unchanged"
"Q15233",-0.415620190936217,19.5543518742731,-0.844782376482923,0.419520301934816,0.866742699583912,-6.24016968796529,"unchanged"
"P23490",0.41207430494897,18.7772085987591,1.03590410762056,0.32653755877907,0.808355121917802,-6.06204916100325,"unchanged"
"P84098",0.410792700453442,19.1750692630252,0.837436527071773,0.42343102312653,0.866742699583912,-6.24640909947417,"unchanged"
"P59665",-0.408167961709392,18.5731804667942,-0.836089793845944,0.424150682775106,0.866742699583912,-6.24754792604587,"unchanged"
"O60506",-0.398910731298585,18.1322418729344,-0.913926244580123,0.383932207859765,0.866742699583912,-6.17918674392487,"unchanged"
"P38646",0.387814838115329,19.4648389398304,0.633180963489945,0.541933607073936,0.873037487850949,-6.40055174029396,"unchanged"
"Q16630",-0.370531640455404,20.5969997341432,-0.879602056742644,0.401322224564151,0.866742699583912,-6.20996494694163,"unchanged"
"P31944",-0.359957011193963,19.9019569053544,-0.851925108084837,0.415741577551892,0.866742699583912,-6.23405819308261,"unchanged"
"B1AJZ9",0.356998822741041,17.8762411105052,0.853800921925044,0.414753118211569,0.866742699583912,-6.23244593103678,"unchanged"
"P35250",-0.334023856448937,18.0062507856572,-0.999401852733238,0.342995411435337,0.822036444445844,-6.0983418911597,"unchanged"
"P10809",0.332361009361474,18.9431421548803,0.896504361894821,0.392690643866172,0.866742699583912,-6.19493205198253,"unchanged"
"O75223",0.330791734760098,19.8878931652998,0.760728054411298,0.465746233442039,0.873037487850949,-6.30873877723502,"unchanged"
"Q15637",-0.329415402181873,16.6712287414778,-0.893729045551624,0.394098850072943,0.866742699583912,-6.19741689084593,"unchanged"
"P62424",0.326842439930545,18.8957063637392,0.421195559402593,0.683219473520833,0.932013999280898,-6.51844918104434,"unchanged"
"O60711",-0.321741525772943,19.4471679627381,-0.60205896584617,0.561583526643406,0.879814191741337,-6.42063053783997,"unchanged"
"Q02878",-0.31865885584525,19.2515906624698,-0.651222236285674,0.530728332972718,0.873037487850949,-6.3884881569548,"unchanged"
"P29508",-0.317484199605278,19.9176631319535,-0.615686871026999,0.552929653138094,0.873037487850949,-6.41195282068853,"unchanged"
"O14979",-0.315781431877998,20.6340037520686,-0.699593022528933,0.501374328485707,0.873037487850949,-6.35462952235094,"unchanged"
"O43766",-0.315751319096933,18.1216729691299,-0.755153099099788,0.468925905930287,0.873037487850949,-6.31306459898337,"unchanged"
"P62753",0.315130054734176,19.7422872887873,0.785711557564136,0.451669631080111,0.873037487850949,-6.28901040953952,"unchanged"
"P61313",0.313948179176464,17.5272519279614,0.775866267655392,0.45718302227869,0.873037487850949,-6.29685147151859,"unchanged"
"P35030",0.309735163262815,17.7354386706831,0.475644823499954,0.645346724283541,0.919008506785268,-6.4924504081071,"unchanged"
"P36578",0.305166106176241,20.1103924226589,0.749957416172184,0.471901866845609,0.873037487850949,-6.31707085958842,"unchanged"
"P14618",0.300471913432659,19.0894613818788,0.812687003236933,0.436789732897899,0.873037487850949,-6.26708599251918,"unchanged"
"Q9P258",-0.295772596058125,17.4741771121053,-0.875568213072613,0.403401755192245,0.866742699583912,-6.21351703229469,"unchanged"
"P26368",-0.293572641025403,17.0183244357509,-0.734234100193702,0.480981635159018,0.873037487850949,-6.32904554972241,"unchanged"
"Q9Y383",0.291208206344276,17.540698174034,0.562303606381372,0.587259577250874,0.888337788309385,-6.44491622621853,"unchanged"
"P07339",0.290785124121392,19.49646588424,0.625372829052878,0.546825685919519,0.873037487850949,-6.40567659641583,"unchanged"
"P04083",0.286898060344491,16.9241075476283,0.73611309471937,0.479890745078805,0.873037487850949,-6.3276263632764,"unchanged"
"Q3ZCQ8",0.280696804845142,16.2175470915286,0.701568051163568,0.500197404871419,0.873037487850949,-6.3532006191955,"unchanged"
"P38159",-0.275333999000473,20.8341950702197,-0.614717129203954,0.5535429178289,0.873037487850949,-6.41257622532209,"unchanged"
"P04040",0.264795067715696,20.6264295629371,0.594977646403933,0.566110323673188,0.881032622935093,-6.42506884377491,"unchanged"
"P61978",-0.262998887694838,20.3897827195551,-0.617497014619141,0.551785961042584,0.873037487850949,-6.41078674037389,"unchanged"
"P81605",0.262914911642561,24.5527977751281,0.707154063496962,0.496877976310712,0.873037487850949,-6.34913967139524,"unchanged"
"Q15517",0.261992433448867,21.1879328755003,0.768198870289615,0.461507263076542,0.873037487850949,-6.30289800705002,"unchanged"
"P05388",0.259565564254487,21.7071571386341,0.650941978481674,0.53090134335023,0.873037487850949,-6.38867791926212,"unchanged"
"Q08188",-0.254989622840494,22.3568303164267,-0.781578047550432,0.453979042654167,0.873037487850949,-6.29231297618583,"unchanged"
"Q6ZVX7",-0.249932904743904,17.9935893146265,-0.495898503124759,0.631521424799143,0.910475673790176,-6.48201250173325,"unchanged"
"P31943",-0.24789633263028,22.8350329616044,-0.749447573455494,0.472194546700407,0.873037487850949,-6.31746267055273,"unchanged"
"Q9BY77",-0.245641312238906,17.0265031925537,-0.721392687581809,0.488479134373328,0.873037487850949,-6.33865816268318,"unchanged"
"Q8NCA5",0.244087656891452,18.4228264291288,0.583761775128471,0.573321859063354,0.885578264611586,-6.4319990397018,"unchanged"
"P55081",-0.242541843708246,19.2265651773903,-0.653919306135162,0.529065073025527,0.873037487850949,-6.38665817169148,"unchanged"
"P22061",0.242496195763735,18.4682505225905,0.563948610285486,0.586184628144151,0.888337788309385,-6.44394192588474,"unchanged"
"Q9Y4R8",0.24186076158561,15.7683063116842,0.666737869169062,0.521202505665253,0.873037487850949,-6.37786671718857,"unchanged"
"Q6E0U4",-0.239851885453721,16.9520826499174,-0.676606803850285,0.515197315930779,0.873037487850949,-6.37099285083665,"unchanged"
"Q13835",0.237397059248234,21.1651737358948,0.675699656369577,0.51574755321939,0.873037487850949,-6.37162850725786,"unchanged"
"P55795",-0.234441705217144,17.3057289314193,-0.619375744079661,0.550600372614144,0.873037487850949,-6.40957314927284,"unchanged"
"Q92499",-0.234403172146141,22.0944556708133,-0.558567279823958,0.589705085005379,0.888337788309385,-6.44711930559409,"unchanged"
"P62701",0.231942838351891,22.4596914467106,0.531397221672763,0.607651788832417,0.903785888453278,-6.46272611807884,"unchanged"
"P15924",0.222177659008114,26.6980719475589,0.636948498604941,0.539582263261194,0.873037487850949,-6.39805810231207,"unchanged"
"Q92522",0.215742518081406,17.8187986709215,0.515971339715007,0.617966621974638,0.90763847602525,-6.47126145307147,"unchanged"
"P07437",0.208500294925457,21.4981572735188,0.358608562328757,0.72792714638855,0.93219158627155,-6.54457091419789,"unchanged"
"P52292",-0.198707549783112,18.3004297849176,-0.475230388419042,0.64563114708192,0.919008506785268,-6.49265967215521,"unchanged"
"P60709",-0.189895763721694,22.796766530323,-0.578738774676518,0.576567976534351,0.885578264611586,-6.43506304736144,"unchanged"
"Q13867",0.188788672564254,19.8244184011273,0.53177921838168,0.607397500380214,0.903785888453278,-6.46251175398823,"unchanged"
"P04792",0.188526714039757,19.2322921000218,0.456762195789795,0.658366647295127,0.919008506785268,-6.50180842730648,"unchanged"
"P09661",-0.184156173877049,17.2701079306308,-0.396401487483885,0.700787727521572,0.932013999280898,-6.5292821933075,"unchanged"
"P01040",0.176235217676229,22.0855114317103,0.521164126983183,0.614484356607375,0.90763847602525,-6.46841465436278,"unchanged"
