sample	samples	STAM	STAM	ENSG00000136738.14
TCGA-DU-A5TP-01	TCGA-DU-A5TP-01	-0.006	0	3.636
TCGA-AB-2842-03	TCGA-AB-2842-03	-0.006	0	3.631
TCGA-YU-A912-01	TCGA-YU-A912-01	-0.006	0	3.629
TCGA-CA-5255-01	TCGA-CA-5255-01	-0.006	0	3.601
TCGA-CM-6172-01	TCGA-CM-6172-01	-0.006	0	3.601
TCGA-AB-2840-03	TCGA-AB-2840-03	-0.006	0	3.595
TCGA-BH-A18S-01	TCGA-BH-A18S-01	-0.006	0	3.595
TCGA-CM-6168-01	TCGA-CM-6168-01	-0.006	0	3.584
TCGA-56-A4ZJ-01	TCGA-56-A4ZJ-01	-0.006	0	3.553
TCGA-HT-8019-01	TCGA-HT-8019-01	-0.006	0	3.551
TCGA-D5-6532-01	TCGA-D5-6532-01	-0.006	0	3.54
TCGA-EW-A1IY-01	TCGA-EW-A1IY-01	-0.006	0	3.534
TCGA-BQ-7061-01	TCGA-BQ-7061-01	-0.006	0	3.532
TCGA-EI-6917-01	TCGA-EI-6917-01	-0.006	0	3.507
TCGA-SX-A71S-01	TCGA-SX-A71S-01	-0.006	0	3.501
TCGA-FU-A57G-01	TCGA-FU-A57G-01	-0.006	0	3.489
TCGA-A4-7997-01	TCGA-A4-7997-01	-0.006	0	3.487
TCGA-DJ-A2Q0-01	TCGA-DJ-A2Q0-01	-0.006	0	3.486
TCGA-CQ-5334-01	TCGA-CQ-5334-01	-0.006	0	3.484
TCGA-WB-A80K-01	TCGA-WB-A80K-01	-0.006	0	3.477
TCGA-E8-A413-01	TCGA-E8-A413-01	-0.006	0	3.433
TCGA-B0-5110-01	TCGA-B0-5110-01	-0.006	0	3.421
TCGA-B8-5546-01	TCGA-B8-5546-01	-0.006	0	3.414
TCGA-GV-A3JV-01	TCGA-GV-A3JV-01	-0.006	0	3.414
TCGA-DM-A28H-01	TCGA-DM-A28H-01	-0.006	0	3.401
TCGA-BR-8361-01	TCGA-BR-8361-01	-0.006	0	3.391
TCGA-EJ-7797-01	TCGA-EJ-7797-01	-0.006	0	3.363
TCGA-CG-4469-01	TCGA-CG-4469-01	-0.006	0	3.353
TCGA-A1-A0SM-01	TCGA-A1-A0SM-01	-0.006	0	3.348
TCGA-HT-A5RB-01	TCGA-HT-A5RB-01	-0.006	0	3.339
TCGA-CJ-6030-01	TCGA-CJ-6030-01	-0.006	0	3.338
TCGA-CV-A6JO-01	TCGA-CV-A6JO-01	-0.006	0	3.334
TCGA-D7-A4YY-01	TCGA-D7-A4YY-01	-0.006	0	3.316
TCGA-HE-A5NH-01	TCGA-HE-A5NH-01	-0.006	0	3.315
TCGA-WB-A819-01	TCGA-WB-A819-01	-0.006	0	3.309
TCGA-D5-6535-01	TCGA-D5-6535-01	-0.006	0	3.286
TCGA-A6-5661-01	TCGA-A6-5661-01	-0.006	0	3.284
TCGA-34-8454-01	TCGA-34-8454-01	-0.006	0	3.275
TCGA-CZ-5453-01	TCGA-CZ-5453-01	-0.006	0	3.271
TCGA-75-6203-01	TCGA-75-6203-01	-0.006	0	3.263
TCGA-05-4425-01	TCGA-05-4425-01	-0.006	0	3.256
TCGA-HC-7081-01	TCGA-HC-7081-01	-0.006	0	3.245
TCGA-B0-4824-01	TCGA-B0-4824-01	-0.006	0	3.213
TCGA-DD-A1EC-01	TCGA-DD-A1EC-01	-0.006	0	3.202
TCGA-ZH-A8Y6-01	TCGA-ZH-A8Y6-01	-0.006	0	3.184
TCGA-A3-3385-01	TCGA-A3-3385-01	-0.006	0	3.164
TCGA-DV-5573-01	TCGA-DV-5573-01	-0.006	0	3.164
TCGA-AD-A5EJ-01	TCGA-AD-A5EJ-01	-0.006	0	3.151
TCGA-DW-7839-01	TCGA-DW-7839-01	-0.006	0	3.111
TCGA-Q1-A73P-01	TCGA-Q1-A73P-01	-0.006	0	3.111
TCGA-BP-5181-01	TCGA-BP-5181-01	-0.006	0	3.106
TCGA-BH-A0DO-01	TCGA-BH-A0DO-01	-0.006	0	3.094
TCGA-Y8-A894-01	TCGA-Y8-A894-01	-0.006	0	3.071
TCGA-DG-A2KM-01	TCGA-DG-A2KM-01	-0.006	0	3.057
TCGA-OR-A5L5-01	TCGA-OR-A5L5-01	-0.006	0	3.053
TCGA-55-6987-01	TCGA-55-6987-01	-0.006	0	3.046
TCGA-S3-AA14-01	TCGA-S3-AA14-01	-0.006	0	3.045
TCGA-E2-A15D-01	TCGA-E2-A15D-01	-0.006	0	3.043
TCGA-EU-5904-01	TCGA-EU-5904-01	-0.006	0	3.043
TCGA-RS-A6TP-01	TCGA-RS-A6TP-01	-0.006	0	3.034
TCGA-VF-A8AB-01	TCGA-VF-A8AB-01	-0.006	0	3.034
TCGA-CR-5250-01	TCGA-CR-5250-01	-0.006	0	3.025
TCGA-BR-8381-01	TCGA-BR-8381-01	-0.006	0	3.023
TCGA-B8-5162-01	TCGA-B8-5162-01	-0.006	0	3.022
TCGA-EI-6507-01	TCGA-EI-6507-01	-0.006	0	3.002
TCGA-AB-2910-03	TCGA-AB-2910-03	-0.006	0	2.98
TCGA-AC-A3W5-01	TCGA-AC-A3W5-01	-0.006	0	2.978
TCGA-56-8309-01	TCGA-56-8309-01	-0.006	0	2.964
TCGA-QH-A870-01	TCGA-QH-A870-01	-0.006	0	2.962
TCGA-VS-A958-01	TCGA-VS-A958-01	-0.006	0	2.958
TCGA-B6-A0IG-01	TCGA-B6-A0IG-01	-0.006	0	2.939
TCGA-C8-A12Y-01	TCGA-C8-A12Y-01	-0.006	0	2.926
TCGA-US-A77E-01	TCGA-US-A77E-01	-0.006	0	2.924
TCGA-44-6148-01	TCGA-44-6148-01	-0.006	0	2.921
TCGA-BG-A3EW-01	TCGA-BG-A3EW-01	-0.006	0	2.917
TCGA-CK-4950-01	TCGA-CK-4950-01	-0.006	0	2.894
TCGA-DU-A76O-01	TCGA-DU-A76O-01	-0.006	0	2.894
TCGA-S9-A6U9-01	TCGA-S9-A6U9-01	-0.006	0	2.858
TCGA-B0-4849-01	TCGA-B0-4849-01	-0.006	0	2.832
TCGA-YL-A8SH-01	TCGA-YL-A8SH-01	-0.006	0	2.812
TCGA-SX-A7SN-01	TCGA-SX-A7SN-01	-0.006	0	2.806
TCGA-25-2397-01	TCGA-25-2397-01	-0.006	0	2.778
TCGA-UZ-A9PX-01	TCGA-UZ-A9PX-01	-0.006	0	2.761
TCGA-E2-A14U-01	TCGA-E2-A14U-01	-0.006	0	2.755
TCGA-BH-A28O-01	TCGA-BH-A28O-01	-0.006	0	2.738
TCGA-FU-A3HZ-01	TCGA-FU-A3HZ-01	-0.006	0	2.734
TCGA-FY-A4B0-01	TCGA-FY-A4B0-01	-0.006	0	2.734
TCGA-CH-5769-01	TCGA-CH-5769-01	-0.006	0	2.725
TCGA-AB-3005-03	TCGA-AB-3005-03	-0.006	0	2.72
TCGA-AK-3429-01	TCGA-AK-3429-01	-0.006	0	2.716
TCGA-YU-A90S-01	TCGA-YU-A90S-01	-0.006	0	2.703
TCGA-CN-A63V-01	TCGA-CN-A63V-01	-0.006	0	2.683
TCGA-EM-A2OW-01	TCGA-EM-A2OW-01	-0.006	0	2.671
TCGA-2Z-A9J3-01	TCGA-2Z-A9J3-01	-0.006	0	2.66
TCGA-DY-A1DD-01	TCGA-DY-A1DD-01	-0.006	0	2.649
TCGA-78-7147-01	TCGA-78-7147-01	-0.006	0	2.635
TCGA-CD-A4MG-01	TCGA-CD-A4MG-01	-0.006	0	2.628
TCGA-J9-A8CK-01	TCGA-J9-A8CK-01	-0.006	0	2.614
TCGA-BP-5170-01	TCGA-BP-5170-01	-0.006	0	2.607
TCGA-BP-5190-01	TCGA-BP-5190-01	-0.006	0	2.556
TCGA-C5-A1BK-01	TCGA-C5-A1BK-01	-0.006	0	2.549
TCGA-KV-A74V-01	TCGA-KV-A74V-01	-0.006	0	2.46
TCGA-SC-A6LP-01	TCGA-SC-A6LP-01	-0.006	0	2.406
TCGA-XU-A92O-01	TCGA-XU-A92O-01	-0.006	0	2.393
TCGA-EA-A78R-01	TCGA-EA-A78R-01	-0.006	0	2.373
TCGA-GR-A4D5-01	TCGA-GR-A4D5-01	-0.006	0	2.305
TCGA-85-8664-01	TCGA-85-8664-01	-0.006	0	2.196
TCGA-4X-A9F9-01	TCGA-4X-A9F9-01	-0.006	0	2.118
TCGA-QF-A5YT-01	TCGA-QF-A5YT-01	-0.006	0	2.064
TCGA-HD-A6I0-01	TCGA-HD-A6I0-01	-0.006	0	1.938
TCGA-QK-A6II-01	TCGA-QK-A6II-01	-0.006	0	1.892
TCGA-EM-A22Q-01	TCGA-EM-A22Q-01	-0.006	0	1.876
TCGA-DW-5560-01	TCGA-DW-5560-01	-0.006	0	1.749
TCGA-X7-A8M6-01	TCGA-X7-A8M6-01	-0.006	0	1.401
TCGA-ED-A4XI-01	TCGA-ED-A4XI-01	-0.006	0	1.334
TCGA-G8-6325-01	TCGA-G8-6325-01	-0.006	0	1.311
TCGA-LP-A4AV-01	TCGA-LP-A4AV-01	-0.006	0	1.227
TCGA-DX-A7EQ-01	TCGA-DX-A7EQ-01	-0.006	0	1.171
TCGA-AA-A00U-01	TCGA-AA-A00U-01	-0.006	0	
TCGA-AG-3598-01	TCGA-AG-3598-01	-0.006	0	
TCGA-AP-A0LT-01	TCGA-AP-A0LT-01	-0.006	0	
TCGA-BG-A222-01	TCGA-BG-A222-01	-0.006	0	
TCGA-BS-A0U5-01	TCGA-BS-A0U5-01	-0.006	0	
TCGA-CG-5728-01	TCGA-CG-5728-01	-0.006	0	
TCGA-D1-A16I-01	TCGA-D1-A16I-01	-0.006	0	
TCGA-EK-A2RD-01	TCGA-EK-A2RD-01	-0.006	0	
TCGA-EO-A22S-01	TCGA-EO-A22S-01	-0.006	0	
TCGA-X7-A8DI-01	TCGA-X7-A8DI-01	-0.006	0	
TCGA-AB-2940-03	TCGA-AB-2940-03	-0.007	0	5.717
TCGA-AB-2863-03	TCGA-AB-2863-03	-0.007	0	4.532
TCGA-AB-2980-03	TCGA-AB-2980-03	-0.007	0	4.444
TCGA-AB-2949-03	TCGA-AB-2949-03	-0.007	0	4.438
TCGA-AB-2806-03	TCGA-AB-2806-03	-0.007	0	4.377
TCGA-AB-2859-03	TCGA-AB-2859-03	-0.007	0	4.284
TCGA-AB-2824-03	TCGA-AB-2824-03	-0.007	0	4.282
TCGA-EM-A2P2-01	TCGA-EM-A2P2-01	-0.007	0	4.164
TCGA-AB-2900-03	TCGA-AB-2900-03	-0.007	0	4.132
TCGA-D3-A2J9-06	TCGA-D3-A2J9-06	-0.007	0	4.132
TCGA-AB-2908-03	TCGA-AB-2908-03	-0.007	0	4.102
TCGA-UT-A88C-01	TCGA-UT-A88C-01	-0.007	0	4.034
TCGA-F1-A72C-01	TCGA-F1-A72C-01	-0.007	0	3.955
TCGA-AB-2846-03	TCGA-AB-2846-03	-0.007	0	3.942
TCGA-CG-4462-01	TCGA-CG-4462-01	-0.007	0	3.826
TCGA-BR-8372-01	TCGA-BR-8372-01	-0.007	0	3.792
TCGA-BQ-5875-01	TCGA-BQ-5875-01	-0.007	0	3.705
TCGA-F1-6874-01	TCGA-F1-6874-01	-0.007	0	3.698
TCGA-B6-A0WT-01	TCGA-B6-A0WT-01	-0.007	0	3.688
TCGA-BQ-5879-01	TCGA-BQ-5879-01	-0.007	0	3.669
TCGA-QR-A6GY-01	TCGA-QR-A6GY-01	-0.007	0	3.653
TCGA-A4-7585-01	TCGA-A4-7585-01	-0.007	0	3.602
TCGA-BP-4807-01	TCGA-BP-4807-01	-0.007	0	3.591
TCGA-AY-6197-01	TCGA-AY-6197-01	-0.007	0	3.572
TCGA-CN-A49C-01	TCGA-CN-A49C-01	-0.007	0	3.552
TCGA-WB-A81D-01	TCGA-WB-A81D-01	-0.007	0	3.546
TCGA-CV-6956-01	TCGA-CV-6956-01	-0.007	0	3.544
TCGA-93-7347-01	TCGA-93-7347-01	-0.007	0	3.535
TCGA-BH-A0EI-01	TCGA-BH-A0EI-01	-0.007	0	3.53
TCGA-E9-A229-01	TCGA-E9-A229-01	-0.007	0	3.512
TCGA-GN-A262-06	TCGA-GN-A262-06	-0.007	0	3.51
TCGA-B8-5165-01	TCGA-B8-5165-01	-0.007	0	3.491
TCGA-EJ-5505-01	TCGA-EJ-5505-01	-0.007	0	3.478
TCGA-CW-5585-01	TCGA-CW-5585-01	-0.007	0	3.475
TCGA-GU-A42Q-01	TCGA-GU-A42Q-01	-0.007	0	3.466
TCGA-AR-A0TQ-01	TCGA-AR-A0TQ-01	-0.007	0	3.458
TCGA-B0-5119-01	TCGA-B0-5119-01	-0.007	0	3.454
TCGA-DU-6408-01	TCGA-DU-6408-01	-0.007	0	3.45
TCGA-B0-4834-01	TCGA-B0-4834-01	-0.007	0	3.449
TCGA-EM-A3FL-01	TCGA-EM-A3FL-01	-0.007	0	3.448
TCGA-DQ-7596-01	TCGA-DQ-7596-01	-0.007	0	3.446
TCGA-C5-A1BJ-01	TCGA-C5-A1BJ-01	-0.007	0	3.442
TCGA-QR-A6H5-01	TCGA-QR-A6H5-01	-0.007	0	3.438
TCGA-CR-6487-01	TCGA-CR-6487-01	-0.007	0	3.395
TCGA-2J-AAB8-01	TCGA-2J-AAB8-01	-0.007	0	3.391
TCGA-A3-3349-01	TCGA-A3-3349-01	-0.007	0	3.381
TCGA-C8-A1HE-01	TCGA-C8-A1HE-01	-0.007	0	3.379
TCGA-B6-A2IU-01	TCGA-B6-A2IU-01	-0.007	0	3.368
TCGA-D7-8572-01	TCGA-D7-8572-01	-0.007	0	3.358
TCGA-A3-3343-01	TCGA-A3-3343-01	-0.007	0	3.355
TCGA-WB-A81H-01	TCGA-WB-A81H-01	-0.007	0	3.355
TCGA-B0-5104-01	TCGA-B0-5104-01	-0.007	0	3.336
TCGA-FB-AAQ0-01	TCGA-FB-AAQ0-01	-0.007	0	3.326
TCGA-BP-4964-01	TCGA-BP-4964-01	-0.007	0	3.315
TCGA-DX-A2IZ-01	TCGA-DX-A2IZ-01	-0.007	0	3.313
TCGA-BP-5189-01	TCGA-BP-5189-01	-0.007	0	3.297
TCGA-CJ-4895-01	TCGA-CJ-4895-01	-0.007	0	3.29
TCGA-EA-A44S-01	TCGA-EA-A44S-01	-0.007	0	3.28
TCGA-CJ-4636-01	TCGA-CJ-4636-01	-0.007	0	3.275
TCGA-B8-4622-01	TCGA-B8-4622-01	-0.007	0	3.268
TCGA-CJ-4905-01	TCGA-CJ-4905-01	-0.007	0	3.268
TCGA-AO-A0J4-01	TCGA-AO-A0J4-01	-0.007	0	3.245
TCGA-B0-4693-01	TCGA-B0-4693-01	-0.007	0	3.24
TCGA-CN-5369-01	TCGA-CN-5369-01	-0.007	0	3.24
TCGA-G7-6790-01	TCGA-G7-6790-01	-0.007	0	3.24
TCGA-BH-A0GZ-01	TCGA-BH-A0GZ-01	-0.007	0	3.236
TCGA-EJ-7317-01	TCGA-EJ-7317-01	-0.007	0	3.236
TCGA-HC-8260-01	TCGA-HC-8260-01	-0.007	0	3.233
TCGA-AD-6548-01	TCGA-AD-6548-01	-0.007	0	3.23
TCGA-BH-A0DG-01	TCGA-BH-A0DG-01	-0.007	0	3.228
TCGA-XU-AAXW-01	TCGA-XU-AAXW-01	-0.007	0	3.219
TCGA-B2-3924-01	TCGA-B2-3924-01	-0.007	0	3.218
TCGA-P4-AAVM-01	TCGA-P4-AAVM-01	-0.007	0	3.208
TCGA-B4-5834-01	TCGA-B4-5834-01	-0.007	0	3.207
TCGA-69-8253-01	TCGA-69-8253-01	-0.007	0	3.203
TCGA-BP-5008-01	TCGA-BP-5008-01	-0.007	0	3.2
TCGA-DC-6681-01	TCGA-DC-6681-01	-0.007	0	3.191
TCGA-EV-5903-01	TCGA-EV-5903-01	-0.007	0	3.188
TCGA-CV-A463-01	TCGA-CV-A463-01	-0.007	0	3.186
TCGA-44-2659-01	TCGA-44-2659-01	-0.007	0	3.168
TCGA-A3-3376-01	TCGA-A3-3376-01	-0.007	0	3.168
TCGA-BR-A4IZ-01	TCGA-BR-A4IZ-01	-0.007	0	3.159
TCGA-63-A5MT-01	TCGA-63-A5MT-01	-0.007	0	3.157
TCGA-18-3414-01	TCGA-18-3414-01	-0.007	0	3.156
TCGA-WB-A81K-01	TCGA-WB-A81K-01	-0.007	0	3.148
TCGA-AA-3660-01	TCGA-AA-3660-01	-0.007	0	3.146
TCGA-FD-A5BU-01	TCGA-FD-A5BU-01	-0.007	0	3.125
TCGA-A4-A4ZT-01	TCGA-A4-A4ZT-01	-0.007	0	3.115
TCGA-HF-7134-01	TCGA-HF-7134-01	-0.007	0	3.096
TCGA-CJ-4899-01	TCGA-CJ-4899-01	-0.007	0	3.076
TCGA-EJ-5503-01	TCGA-EJ-5503-01	-0.007	0	3.067
TCGA-D3-A8GE-06	TCGA-D3-A8GE-06	-0.007	0	3.06
TCGA-B0-5399-01	TCGA-B0-5399-01	-0.007	0	3.055
TCGA-CJ-4886-01	TCGA-CJ-4886-01	-0.007	0	3.048
TCGA-BR-7707-01	TCGA-BR-7707-01	-0.007	0	3.045
TCGA-CK-5913-01	TCGA-CK-5913-01	-0.007	0	3.038
TCGA-BH-A0HI-01	TCGA-BH-A0HI-01	-0.007	0	3.025
TCGA-B9-A8YH-01	TCGA-B9-A8YH-01	-0.007	0	3.022
TCGA-DK-A1AB-01	TCGA-DK-A1AB-01	-0.007	0	3.002
TCGA-HC-7817-01	TCGA-HC-7817-01	-0.007	0	2.971
TCGA-A3-A8OU-01	TCGA-A3-A8OU-01	-0.007	0	2.969
TCGA-BP-4170-01	TCGA-BP-4170-01	-0.007	0	2.967
TCGA-EA-A410-01	TCGA-EA-A410-01	-0.007	0	2.958
TCGA-ER-A19O-06	TCGA-ER-A19O-06	-0.007	0	2.936
TCGA-H6-A45N-01	TCGA-H6-A45N-01	-0.007	0	2.936
TCGA-S7-A7X1-01	TCGA-S7-A7X1-01	-0.007	0	2.924
TCGA-SX-A7SR-01	TCGA-SX-A7SR-01	-0.007	0	2.924
TCGA-VS-A9V2-01	TCGA-VS-A9V2-01	-0.007	0	2.924
TCGA-HU-8604-01	TCGA-HU-8604-01	-0.007	0	2.911
TCGA-VQ-AA6F-01	TCGA-VQ-AA6F-01	-0.007	0	2.903
TCGA-XU-AAXX-01	TCGA-XU-AAXX-01	-0.007	0	2.895
TCGA-GK-A6C7-01	TCGA-GK-A6C7-01	-0.007	0	2.886
TCGA-CZ-5452-01	TCGA-CZ-5452-01	-0.007	0	2.882
TCGA-21-5784-01	TCGA-21-5784-01	-0.007	0	2.88
TCGA-ZF-AA56-01	TCGA-ZF-AA56-01	-0.007	0	2.874
TCGA-BP-5168-01	TCGA-BP-5168-01	-0.007	0	2.834
TCGA-V4-A9E9-01	TCGA-V4-A9E9-01	-0.007	0	2.824
TCGA-XM-AAZ2-01	TCGA-XM-AAZ2-01	-0.007	0	2.803
TCGA-ZJ-A8QO-01	TCGA-ZJ-A8QO-01	-0.007	0	2.801
TCGA-DX-A1L3-01	TCGA-DX-A1L3-01	-0.007	0	2.783
TCGA-VS-A9UC-01	TCGA-VS-A9UC-01	-0.007	0	2.751
TCGA-CL-5918-01	TCGA-CL-5918-01	-0.007	0	2.744
TCGA-4V-A9QS-01	TCGA-4V-A9QS-01	-0.007	0	2.742
TCGA-CV-5443-01	TCGA-CV-5443-01	-0.007	0	2.738
TCGA-XK-AAIW-01	TCGA-XK-AAIW-01	-0.007	0	2.727
TCGA-95-A4VK-01	TCGA-95-A4VK-01	-0.007	0	2.72
TCGA-BJ-A0ZC-01	TCGA-BJ-A0ZC-01	-0.007	0	2.716
TCGA-CZ-5468-01	TCGA-CZ-5468-01	-0.007	0	2.694
TCGA-EE-A2GK-06	TCGA-EE-A2GK-06	-0.007	0	2.639
TCGA-2Z-A9JM-01	TCGA-2Z-A9JM-01	-0.007	0	2.616
TCGA-PJ-A5Z9-01	TCGA-PJ-A5Z9-01	-0.007	0	2.616
TCGA-VS-A9UB-01	TCGA-VS-A9UB-01	-0.007	0	2.616
TCGA-DC-6154-01	TCGA-DC-6154-01	-0.007	0	2.597
TCGA-13-0799-01	TCGA-13-0799-01	-0.007	0	2.595
TCGA-CJ-5672-01	TCGA-CJ-5672-01	-0.007	0	2.588
TCGA-5P-A9K4-01	TCGA-5P-A9K4-01	-0.007	0	2.571
TCGA-J9-A8CM-01	TCGA-J9-A8CM-01	-0.007	0	2.563
TCGA-BH-A18G-01	TCGA-BH-A18G-01	-0.007	0	2.556
TCGA-CM-4743-01	TCGA-CM-4743-01	-0.007	0	2.496
TCGA-G6-A8L6-01	TCGA-G6-A8L6-01	-0.007	0	2.478
TCGA-AK-3447-01	TCGA-AK-3447-01	-0.007	0	2.475
TCGA-B6-A0I1-01	TCGA-B6-A0I1-01	-0.007	0	2.433
TCGA-EM-A3FR-01	TCGA-EM-A3FR-01	-0.007	0	2.409
TCGA-BQ-5880-01	TCGA-BQ-5880-01	-0.007	0	2.395
TCGA-ZJ-AAXU-01	TCGA-ZJ-AAXU-01	-0.007	0	2.356
TCGA-55-A492-01	TCGA-55-A492-01	-0.007	0	2.272
TCGA-EK-A2R9-01	TCGA-EK-A2R9-01	-0.007	0	2.227
TCGA-W2-A7UY-01	TCGA-W2-A7UY-01	-0.007	0	2.214
TCGA-X7-A8M7-01	TCGA-X7-A8M7-01	-0.007	0	2.018
TCGA-DD-A4ND-01	TCGA-DD-A4ND-01	-0.007	0	1.997
TCGA-B0-4842-01	TCGA-B0-4842-01	-0.007	0	1.791
TCGA-DD-AAEI-01	TCGA-DD-AAEI-01	-0.007	0	1.258
TCGA-GR-7351-01	TCGA-GR-7351-01	-0.007	0	0.7579
TCGA-02-0338-01	TCGA-02-0338-01	-0.007	0	
TCGA-04-1336-01	TCGA-04-1336-01	-0.007	0	
TCGA-04-1525-01	TCGA-04-1525-01	-0.007	0	
TCGA-09-2055-01	TCGA-09-2055-01	-0.007	0	
TCGA-32-4208-01	TCGA-32-4208-01	-0.007	0	
TCGA-4V-A9QQ-01	TCGA-4V-A9QQ-01	-0.007	0	
TCGA-61-2087-01	TCGA-61-2087-01	-0.007	0	
TCGA-AA-3530-01	TCGA-AA-3530-01	-0.007	0	
TCGA-AA-3543-01	TCGA-AA-3543-01	-0.007	0	
TCGA-AA-A00A-01	TCGA-AA-A00A-01	-0.007	0	
TCGA-AB-2945-03	TCGA-AB-2945-03	-0.007	0	
TCGA-AG-3580-01	TCGA-AG-3580-01	-0.007	0	
TCGA-AP-A0LV-01	TCGA-AP-A0LV-01	-0.007	0	
TCGA-AP-A1DP-01	TCGA-AP-A1DP-01	-0.007	0	
TCGA-AX-A0IZ-01	TCGA-AX-A0IZ-01	-0.007	0	
TCGA-AX-A1CE-01	TCGA-AX-A1CE-01	-0.007	0	
TCGA-AY-4071-01	TCGA-AY-4071-01	-0.007	0	
TCGA-BG-A0LW-01	TCGA-BG-A0LW-01	-0.007	0	
TCGA-BG-A220-01	TCGA-BG-A220-01	-0.007	0	
TCGA-BP-4354-01	TCGA-BP-4354-01	-0.007	0	
TCGA-CG-5733-01	TCGA-CG-5733-01	-0.007	0	
TCGA-D1-A0ZS-01	TCGA-D1-A0ZS-01	-0.007	0	
TCGA-D1-A1O5-01	TCGA-D1-A1O5-01	-0.007	0	
TCGA-MT-A67G-01	TCGA-MT-A67G-01	-0.007	0	
TCGA-AB-2998-03	TCGA-AB-2998-03	-0.008	0	4.348
TCGA-HT-7686-01	TCGA-HT-7686-01	-0.008	0	4.261
TCGA-AB-3006-03	TCGA-AB-3006-03	-0.008	0	4.243
TCGA-AB-3007-03	TCGA-AB-3007-03	-0.008	0	3.966
TCGA-EM-A22O-01	TCGA-EM-A22O-01	-0.008	0	3.83
TCGA-AA-3713-01	TCGA-AA-3713-01	-0.008	0	3.807
TCGA-B0-5096-01	TCGA-B0-5096-01	-0.008	0	3.785
TCGA-AB-3009-03	TCGA-AB-3009-03	-0.008	0	3.768
TCGA-JY-A6FG-01	TCGA-JY-A6FG-01	-0.008	0	3.754
TCGA-VR-A8EY-01	TCGA-VR-A8EY-01	-0.008	0	3.65
TCGA-AO-A0JI-01	TCGA-AO-A0JI-01	-0.008	0	3.649
TCGA-DU-7018-01	TCGA-DU-7018-01	-0.008	0	3.641
TCGA-D5-6923-01	TCGA-D5-6923-01	-0.008	0	3.629
TCGA-CZ-4861-01	TCGA-CZ-4861-01	-0.008	0	3.618
TCGA-DU-7301-01	TCGA-DU-7301-01	-0.008	0	3.599
TCGA-WB-A81T-01	TCGA-WB-A81T-01	-0.008	0	3.599
TCGA-BA-4077-01	TCGA-BA-4077-01	-0.008	0	3.546
TCGA-CV-5436-01	TCGA-CV-5436-01	-0.008	0	3.535
TCGA-FP-8210-01	TCGA-FP-8210-01	-0.008	0	3.53
TCGA-B0-5709-01	TCGA-B0-5709-01	-0.008	0	3.517
TCGA-CJ-4634-01	TCGA-CJ-4634-01	-0.008	0	3.487
TCGA-CV-A464-01	TCGA-CV-A464-01	-0.008	0	3.482
TCGA-T2-A6X2-01	TCGA-T2-A6X2-01	-0.008	0	3.449
TCGA-CQ-A4C6-01	TCGA-CQ-A4C6-01	-0.008	0	3.441
TCGA-IZ-8196-01	TCGA-IZ-8196-01	-0.008	0	3.426
TCGA-D8-A1X7-01	TCGA-D8-A1X7-01	-0.008	0	3.417
TCGA-CZ-5451-01	TCGA-CZ-5451-01	-0.008	0	3.349
TCGA-AB-2866-03	TCGA-AB-2866-03	-0.008	0	3.338
TCGA-2G-AAKO-01	TCGA-2G-AAKO-01	-0.008	0	3.332
TCGA-D7-A6EY-01	TCGA-D7-A6EY-01	-0.008	0	3.329
TCGA-24-1422-01	TCGA-24-1422-01	-0.008	0	3.322
TCGA-VN-A943-01	TCGA-VN-A943-01	-0.008	0	3.312
TCGA-43-7658-01	TCGA-43-7658-01	-0.008	0	3.305
TCGA-A3-3370-01	TCGA-A3-3370-01	-0.008	0	3.286
TCGA-EI-6506-01	TCGA-EI-6506-01	-0.008	0	3.28
TCGA-BR-A4J4-01	TCGA-BR-A4J4-01	-0.008	0	3.271
TCGA-B8-5553-01	TCGA-B8-5553-01	-0.008	0	3.234
TCGA-CH-5792-01	TCGA-CH-5792-01	-0.008	0	3.213
TCGA-B0-5115-01	TCGA-B0-5115-01	-0.008	0	3.18
TCGA-37-3783-01	TCGA-37-3783-01	-0.008	0	3.162
TCGA-BP-5184-01	TCGA-BP-5184-01	-0.008	0	3.151
TCGA-CJ-4643-01	TCGA-CJ-4643-01	-0.008	0	3.144
TCGA-J4-A83I-01	TCGA-J4-A83I-01	-0.008	0	3.143
TCGA-3L-AA1B-01	TCGA-3L-AA1B-01	-0.008	0	3.141
TCGA-B4-5378-01	TCGA-B4-5378-01	-0.008	0	3.138
TCGA-BP-5192-01	TCGA-BP-5192-01	-0.008	0	3.119
TCGA-BR-8284-01	TCGA-BR-8284-01	-0.008	0	3.119
TCGA-86-8671-01	TCGA-86-8671-01	-0.008	0	3.111
TCGA-LL-A73Y-01	TCGA-LL-A73Y-01	-0.008	0	3.111
TCGA-CZ-4865-01	TCGA-CZ-4865-01	-0.008	0	3.109
TCGA-B2-4101-01	TCGA-B2-4101-01	-0.008	0	3.094
TCGA-AA-3675-01	TCGA-AA-3675-01	-0.008	0	3.089
TCGA-CJ-5684-01	TCGA-CJ-5684-01	-0.008	0	3.089
TCGA-HW-A5KL-01	TCGA-HW-A5KL-01	-0.008	0	3.082
TCGA-CJ-4908-01	TCGA-CJ-4908-01	-0.008	0	3.067
TCGA-CQ-5327-01	TCGA-CQ-5327-01	-0.008	0	3.038
TCGA-P3-A6T7-01	TCGA-P3-A6T7-01	-0.008	0	3.027
