sample	samples	STAM	STAM	ENSG00000136738.14
TCGA-BH-A0B3-01	TCGA-BH-A0B3-01	1.167	2	3.786
TCGA-NJ-A4YF-01	TCGA-NJ-A4YF-01	1.159	1	3.125
TCGA-AK-3453-01	TCGA-AK-3453-01	1.158	1	3.159
TCGA-FT-A3EE-01	TCGA-FT-A3EE-01	1.151	1	4.089
TCGA-30-1856-01	TCGA-30-1856-01	1.15	2	
TCGA-EW-A1J6-01	TCGA-EW-A1J6-01	1.141	1	3.693
TCGA-AG-A016-01	TCGA-AG-A016-01	1.14	1	
TCGA-13-2060-01	TCGA-13-2060-01	1.139	1	3.529
TCGA-E2-A150-01	TCGA-E2-A150-01	1.132	1	4.923
TCGA-24-2020-01	TCGA-24-2020-01	1.131	1	3.278
TCGA-G2-A3VY-01	TCGA-G2-A3VY-01	1.12	1	3.825
TCGA-DX-AB2O-01	TCGA-DX-AB2O-01	1.109	1	3.674
TCGA-04-1346-01	TCGA-04-1346-01	1.108	1	
TCGA-24-2023-01	TCGA-24-2023-01	1.107	2	3.73
TCGA-EU-5905-01	TCGA-EU-5905-01	1.107	1	3.313
TCGA-20-1683-01	TCGA-20-1683-01	1.103	1	4.168
TCGA-42-2588-01	TCGA-42-2588-01	1.102	1	
TCGA-AR-A1AY-01	TCGA-AR-A1AY-01	1.099	1	5.179
TCGA-24-2260-01	TCGA-24-2260-01	1.099	1	
TCGA-XF-A8HF-01	TCGA-XF-A8HF-01	1.093	1	2.63
TCGA-LN-A49R-01	TCGA-LN-A49R-01	1.089	1	4.226
TCGA-78-8662-01	TCGA-78-8662-01	1.089	1	3.619
TCGA-E2-A574-01	TCGA-E2-A574-01	1.087	1	2.989
TCGA-24-1564-01	TCGA-24-1564-01	1.081	1	4.39
TCGA-E2-A573-01	TCGA-E2-A573-01	1.074	1	3.85
TCGA-24-1466-01	TCGA-24-1466-01	1.07	2	
TCGA-34-5928-01	TCGA-34-5928-01	1.066	1	3.753
TCGA-LN-A49L-01	TCGA-LN-A49L-01	1.064	1	4.405
TCGA-29-A5NZ-01	TCGA-29-A5NZ-01	1.059	1	3.869
TCGA-A8-A08P-01	TCGA-A8-A08P-01	1.054	1	4.184
TCGA-AN-A0XU-01	TCGA-AN-A0XU-01	1.052	2	4.599
TCGA-G2-AA3F-01	TCGA-G2-AA3F-01	1.04	2	4.381
TCGA-P5-A780-01	TCGA-P5-A780-01	1.038	1	4.389
TCGA-25-1329-01	TCGA-25-1329-01	1.036	1	3.413
TCGA-24-1557-01	TCGA-24-1557-01	1.034	2	3.683
TCGA-EW-A1PH-01	TCGA-EW-A1PH-01	1.032	1	4.026
TCGA-D1-A16N-01	TCGA-D1-A16N-01	1.031	2	
TCGA-G2-A2ES-01	TCGA-G2-A2ES-01	1.03	1	4.09
TCGA-Z6-A9VB-01	TCGA-Z6-A9VB-01	1.025	1	4.104
TCGA-D8-A1XZ-01	TCGA-D8-A1XZ-01	1.023	1	4
TCGA-FP-8099-01	TCGA-FP-8099-01	1.018	1	3.89
TCGA-UY-A8OB-01	TCGA-UY-A8OB-01	1.018	1	3.237
TCGA-13-0751-01	TCGA-13-0751-01	1	1	
TCGA-AC-A62X-01	TCGA-AC-A62X-01	0.994	1	3.059
TCGA-FD-A6TF-01	TCGA-FD-A6TF-01	0.993	2	3.256
TCGA-AX-A2HH-01	TCGA-AX-A2HH-01	0.993	1	3.625
TCGA-29-1766-01	TCGA-29-1766-01	0.991	1	3.414
TCGA-E6-A1M0-01	TCGA-E6-A1M0-01	0.99	1	
TCGA-A7-A0DA-01	TCGA-A7-A0DA-01	0.987	2	3.588
TCGA-BR-8483-01	TCGA-BR-8483-01	0.987	1	3.237
TCGA-EY-A1GX-01	TCGA-EY-A1GX-01	0.985	1	3.192
TCGA-QR-A6GX-01	TCGA-QR-A6GX-01	0.984	1	3.834
TCGA-CU-A5W6-01	TCGA-CU-A5W6-01	0.982	2	3.924
TCGA-E9-A244-01	TCGA-E9-A244-01	0.978	2	4.265
TCGA-23-1031-01	TCGA-23-1031-01	0.978	1	
TCGA-AO-A0JL-01	TCGA-AO-A0JL-01	0.972	1	2.964
TCGA-24-1843-01	TCGA-24-1843-01	0.968	1	3.744
TCGA-GV-A3QF-01	TCGA-GV-A3QF-01	0.967	2	3.567
TCGA-O2-A52W-01	TCGA-O2-A52W-01	0.967	1	3.717
TCGA-BH-A0BL-01	TCGA-BH-A0BL-01	0.966	2	3.97
TCGA-HU-A4GU-01	TCGA-HU-A4GU-01	0.965	2	4.41
TCGA-25-1317-01	TCGA-25-1317-01	0.963	1	3.852
TCGA-86-7955-01	TCGA-86-7955-01	0.955	1	3.964
TCGA-A1-A0SO-01	TCGA-A1-A0SO-01	0.954	1	4.514
TCGA-E6-A2P9-01	TCGA-E6-A2P9-01	0.951	1	3.416
TCGA-FG-A60L-01	TCGA-FG-A60L-01	0.951	1	2.998
TCGA-05-4420-01	TCGA-05-4420-01	0.95	1	3.955
